x_over_c,cp
0.995,0.9957337356225873
0.985,0.9995130047798133
0.975,0.999376006298075
0.965,0.9991207994722658
0.95,0.998004227465717
0.9299999999999999,0.9968960054621311
0.91,0.9954256509268907
0.89,0.9936547930073016
0.87,0.9916133577225182
0.85,0.9893240483892617
0.83,0.986806429554141
0.81,0.984081227934051
0.79,0.9811704975028043
0.77,0.9780914299547525
0.75,0.9748635820812439
0.73,0.9715050062409134
0.71,0.9680264355103804
0.69,0.9644336041160131
0.67,0.9607687482815654
0.65,0.9570645213399014
0.63,0.953354273912068
0.61,0.9496766526820869
0.59,0.9460871851947015
0.5700000000000001,0.9425886737054394
0.55,0.9391959023730632
0.53,0.9359176343341894
0.51,0.9327577235195594
0.49,0.9296995284698943
0.47,0.9268027315151252
0.45,0.9241330984232399
0.43,0.9217451565069881
0.41000000000000003,0.9197243533981562
0.39,0.9181993127932239
0.37,0.9170725552973714
0.35,0.9162378956896087
0.33,0.9155996297739554
0.31,0.9149749534494647
0.29000000000000004,0.9140372529066987
0.27,0.9132007810620568
0.25,0.9128536096606614
0.22999999999999998,0.9132848046882929
0.21000000000000002,0.9148892967924869
0.19,0.9181794200141925
0.16999999999999998,0.9228262611461368
0.15000000000000002,0.9284060199028561
0.13,0.9351023596741037
0.11,0.9437210339102833
0.09,0.954709560561276
0.07,0.9685086630818889
0.055,0.9796464679748998
0.045,0.9889236117908204
0.035,0.9977377384497691
0.025,0.9971685546316309
0.016,0.9603482618229569
0.01,0.8848330579117797
0.006,0.7184431476249754
0.003,0.39029660661790655
0.0015,0.038379897525892215
0.00075,-0.26411317054910044
0.00025,-0.546929248986133
0.00025,-0.6802611647743717
0.00075,-0.9265853568450098
0.0015,-0.6141620468417104
0.003,-0.2820584864467437
0.006,0.10184462562319052
0.01,0.3436089477323233
0.016,0.6198225921165033
0.025,0.8204193275879482
0.035,0.8905060177651861
0.045,0.9197442570585395
0.055,0.9350729973762368
0.07,0.9449930450639643
0.09,0.946915463896886
0.11,0.944309209028146
0.13,0.9403623920989501
0.15000000000000002,0.936120914159116
0.16999999999999998,0.9321719908384001
0.19,0.9287703271192446
0.21000000000000002,0.9259942413315263
0.22999999999999998,0.9239068595517442
0.25,0.9224786249507241
0.27,0.9216148540829439
0.29000000000000004,0.9211654477792053
0.31,0.9209518545765395
0.33,0.9210834034271126
0.35,0.9215664978349805
0.37,0.9223823515383054
0.39,0.9235362978202281
0.41000000000000003,0.9250305819798486
0.43,0.9268312024411605
0.45,0.928906046439326
0.47,0.9312385321114741
0.49,0.9337965134896541
0.51,0.9365495384673085
0.53,0.9394804102265096
0.55,0.9425646338989224
0.5700000000000001,0.9457801862720481
0.59,0.9490995607281052
0.61,0.9525029597309665
0.63,0.9559596102245232
0.65,0.9594422150317812
0.67,0.9629253787285165
0.69,0.9663768108099118
0.71,0.9697739428792022
0.73,0.973089945629275
0.75,0.9763044122717811
0.77,0.979395943619873
0.79,0.9823450754918454
0.81,0.9851325914212995
0.83,0.9877392904009302
0.85,0.9901458974841008
0.87,0.9923331763187984
0.89,0.9942820390395825
0.91,0.9959738176693713
0.9299999999999999,0.9973931583027429
0.95,0.9985666997559759
0.965,0.9993240359344739
0.975,0.9996209973007021
0.985,0.9998361600651826
0.995,0.9996624390669174
