x_over_c,cp
0.995,0.9989366439459758
0.985,0.9999804677962161
0.975,0.9999949687615837
0.965,0.999999785374085
0.95,0.9999966659054043
0.9299999999999999,0.9999989031693454
0.91,0.9999911508067438
0.89,0.9999785614045663
0.87,0.9999616834159811
0.85,0.9999407348529237
0.83,0.9999161234217786
0.81,0.999888144588244
0.79,0.9998569756723912
0.77,0.9998232554234207
0.75,0.9997872097916037
0.73,0.9997491362314586
0.71,0.9997098453205615
0.69,0.9996701242879323
0.67,0.9996272341839902
0.65,0.9995814580977302
0.63,0.9995334293862074
0.61,0.9994834352998984
0.59,0.9994306387188406
0.5700000000000001,0.9993794871639624
0.55,0.9993300228966061
0.53,0.9992825140962407
0.51,0.9992372680347446
0.49,0.9991959086618953
0.47,0.9991531347086351
0.45,0.9991084810956284
0.43,0.999063895478702
0.41000000000000003,0.9990184172117408
0.39,0.9989693700123489
0.37,0.998932576204816
0.35,0.9989092891478463
0.33,0.9988968004873656
0.31,0.9988991243556343
0.29000000000000004,0.9989256080792349
0.27,0.9989276112300183
0.25,0.9989057410994255
0.22999999999999998,0.9988733815172003
0.21000000000000002,0.9988288310243124
0.19,0.9987615342953473
0.16999999999999998,0.998715402740361
0.15000000000000002,0.9986880117222922
0.13,0.9986108286717487
0.11,0.9983599508821824
0.09,0.9977544841650343
0.07,0.9961402304849586
0.055,0.9934773463514925
0.045,0.9893046873036418
0.035,0.9799875339323122
0.025,0.9551425795822924
0.016,0.8979191616635163
0.01,0.8144627241532942
0.006,0.6420315279878208
0.003,0.3247546966403625
0.0015,-0.004806497927342779
0.00075,-0.2843136088581357
0.00025,-0.5371665526517722
0.00025,-0.5848409640565448
0.00075,-0.7406974981269896
0.0015,-0.43495377897181764
0.003,-0.09834408710541731
0.006,0.2854168663334834
0.01,0.5259758625092692
0.016,0.7694543778515293
0.025,0.9247470311181043
0.035,0.9712166729684751
0.045,0.9888558657804382
0.055,0.9961863297536232
0.07,0.9994303132857876
0.09,0.9999988765196197
0.11,0.9997913079179966
0.13,0.9994994347626359
0.15000000000000002,0.9992688357170568
0.16999999999999998,0.9991063104410228
0.19,0.9989990124464455
0.21000000000000002,0.9989347482381334
0.22999999999999998,0.9988968822826144
0.25,0.9988786770927316
0.27,0.9988773269022293
0.29000000000000004,0.9988924460304237
0.31,0.9989242838015463
0.33,0.9989509315977847
0.35,0.9989745949467775
0.37,0.998999430031004
0.39,0.9990257027784878
0.41000000000000003,0.9990537474464631
0.43,0.9990858970967774
0.45,0.999122216286891
0.47,0.9991609942683318
0.49,0.9992022456999559
0.51,0.9992456007286595
0.53,0.9992898435463369
0.55,0.9993348974077993
0.5700000000000001,0.9993804302099644
0.59,0.9994264686865922
0.61,0.9994722122131191
0.63,0.9995177379336903
0.65,0.9995625707088229
0.67,0.9996061513562138
0.69,0.9996485944319153
0.71,0.9996893159620018
0.73,0.999728379680989
0.75,0.9997654561851498
0.77,0.9998004467792506
0.79,0.9998331249053792
0.81,0.9998632637145102
0.83,0.9998906372874456
0.85,0.9999150356296885
0.87,0.9999362764075255
0.89,0.9999542265710438
0.91,0.9999688160431593
0.9299999999999999,0.9999797849220826
0.95,0.9999824198928535
0.965,0.999993615010286
0.975,0.9999913571607678
0.985,0.9999872943603936
0.995,0.9997888411582364
