x_over_c,cp
0.995,0.9950258767034358
0.985,0.9993781960078897
0.975,0.999176908996674
0.965,0.9988149940752385
0.95,0.9973296574221188
0.9299999999999999,0.9957746206123614
0.91,0.9937278618345052
0.89,0.991264427951397
0.87,0.9884226510552074
0.85,0.9852332411929622
0.83,0.9817236869669101
0.81,0.9779228733568661
0.79,0.973861309230454
0.77,0.9695639192527037
0.75,0.9650579133334419
0.73,0.9603686245111585
0.71,0.9555124152000772
0.69,0.9504986859147974
0.67,0.9453797500105173
0.65,0.9402011285934222
0.63,0.9350099935959016
0.61,0.9298600798335505
0.59,0.9248261532074182
0.5700000000000001,0.9199207294247268
0.55,0.9151640947206886
0.53,0.9105687224117545
0.51,0.90614042171384
0.49,0.9018592705983784
0.47,0.8977974621479057
0.45,0.8940446667136064
0.43,0.8906795724436288
0.41000000000000003,0.8878181139125275
0.39,0.8856327835327373
0.37,0.8840176935272751
0.35,0.8828284536492785
0.33,0.8819283471935953
0.31,0.8810727152159924
0.29000000000000004,0.8798290957352474
0.27,0.8786819351672331
0.25,0.8781654353102448
0.22999999999999998,0.8787019218273766
0.21000000000000002,0.8808340087176283
0.19,0.885254467388255
0.16999999999999998,0.891587430359057
0.15000000000000002,0.8992447115286697
0.13,0.9083857232004412
0.11,0.9200037459628903
0.09,0.9346777851486704
0.07,0.9529478607051498
0.055,0.9677583012563415
0.045,0.9804504234268464
0.035,0.9937448289562762
0.025,0.9993049298929046
0.016,0.9682910200569878
0.01,0.8959469337746397
0.006,0.7327231667674065
0.003,0.40612910654898693
0.0015,0.05371400968762652
0.00075,-0.24996177077629844
0.00025,-0.5353590678879567
0.00025,-0.6821389386362551
0.00075,-0.9421295260974769
0.0015,-0.6313654495035044
0.003,-0.3032071813460804
0.006,0.07678208850744239
0.01,0.31583925371777155
0.016,0.5944228859355349
0.025,0.8001527593519979
0.035,0.8728727390881434
0.045,0.902708547832551
0.055,0.9181334973777426
0.07,0.9276957336824465
0.09,0.9280324344272376
0.11,0.9232616111705271
0.13,0.9171071260660171
0.15000000000000002,0.9108226765162402
0.16999999999999998,0.9050998847579007
0.19,0.9002341610840014
0.21000000000000002,0.8963038473285316
0.22999999999999998,0.8933661001581763
0.25,0.8913687568875723
0.27,0.8901768051022502
0.29000000000000004,0.8895831111495338
0.31,0.8893427962870999
0.33,0.8895695109108596
0.35,0.8902753350181903
0.37,0.8914413625728285
0.39,0.8930752946674134
0.41000000000000003,0.8951807309911421
0.43,0.8977149756611755
0.45,0.9006339834401553
0.47,0.9039119070477989
0.49,0.9075045511218327
0.51,0.9113693709919785
0.53,0.9154805028587807
0.55,0.9198041017254179
0.5700000000000001,0.9243092581698639
0.59,0.9289581924976439
0.61,0.9337221833491123
0.63,0.9385590584216593
0.65,0.9434303910270184
0.67,0.9483001962916856
0.69,0.9531243048629225
0.71,0.957870564983049
0.73,0.9625022257462634
0.75,0.966990596576616
0.77,0.9713060777463661
0.79,0.97542147414211
0.81,0.9793099246863614
0.83,0.9829445829255558
0.85,0.9862985219808722
0.87,0.9893449110415969
0.89,0.9920572117193661
0.91,0.9944095848588268
0.9299999999999999,0.9963803061622433
0.95,0.9979969251639721
0.965,0.9990589567612915
0.975,0.999464260578773
0.985,0.9997599933328276
0.995,0.999432729271008
