x_over_c,cp
0.995,0.9992721082535266
0.985,0.999997931575797
0.975,0.9999974938138165
0.965,0.999980303004356
0.95,0.9999711176545062
0.9299999999999999,0.9998882638424426
0.91,0.9997805388625064
0.89,0.9996481162036801
0.87,0.9994903808716237
0.85,0.9993082331901509
0.83,0.9991037647250836
0.81,0.9988787738790762
0.79,0.9986347667110712
0.77,0.9983747229439242
0.75,0.9981002247707168
0.73,0.9978130667997325
0.71,0.9975164567669341
0.69,0.9972132367425015
0.67,0.9968960945848337
0.65,0.9965676367934767
0.63,0.9962316606348701
0.61,0.9958910461949326
0.59,0.9955458343456408
0.5700000000000001,0.9952107219924108
0.55,0.9948864514111488
0.53,0.994574233792945
0.51,0.99427517639748
0.49,0.9939935724244675
0.47,0.9937154634402571
0.45,0.9934427147497754
0.43,0.9931843074176159
0.41000000000000003,0.992941620895685
0.39,0.9927130776398237
0.37,0.9925429987725197
0.35,0.9924294299335276
0.33,0.9923589429536315
0.31,0.9923345517520966
0.29000000000000004,0.9923691922896137
0.27,0.99233363362214
0.25,0.9922483994711603
0.22999999999999998,0.9921703319608817
0.21000000000000002,0.9921162130668343
0.19,0.9920855975629872
0.16999999999999998,0.9921968873933362
0.15000000000000002,0.9924205320439369
0.13,0.9925815969276218
0.11,0.9924408779952579
0.09,0.9917442679270942
0.07,0.9895802027639581
0.055,0.986094483937344
0.045,0.9809556314135044
0.035,0.9702126292076277
0.025,0.9435893104745408
0.016,0.8855261114253423
0.01,0.8026539946000439
0.006,0.6314210384087803
0.003,0.31923741378101667
0.0015,-0.0035400283281146194
0.00075,-0.276742349491939
0.00025,-0.5224162468630136
0.00025,-0.5556363272922733
0.00075,-0.6956900995602273
0.0015,-0.39378144014878713
0.003,-0.05964920218300751
0.006,0.32015160193773173
0.01,0.5576108153837394
0.016,0.7927960971963195
0.025,0.9384644253598411
0.035,0.9798742814208069
0.045,0.9943327417844962
0.055,0.9991540367972087
0.07,0.9998655314054442
0.09,0.9984073683019191
0.11,0.9968165852704706
0.13,0.9955076143047628
0.15000000000000002,0.9945405571948546
0.16999999999999998,0.9938375540833283
0.19,0.99333931091928
0.21000000000000002,0.9930041741673498
0.22999999999999998,0.9927835571414468
0.25,0.9926555497267608
0.27,0.9926069456490723
0.29000000000000004,0.9926290927838106
0.31,0.9927141561835834
0.33,0.9928017990258311
0.35,0.9928985358723614
0.37,0.9930158764594088
0.39,0.9931548038717897
0.41000000000000003,0.993316384249362
0.43,0.9935060920813482
0.45,0.993722540972712
0.47,0.993959598910912
0.49,0.9942157072420752
0.51,0.9944882026165277
0.53,0.9947724079380407
0.55,0.9950668503523674
0.5700000000000001,0.9953693772621731
0.59,0.9956787111061047
0.61,0.995991315536727
0.63,0.9963059176717135
0.65,0.9966196499367088
0.67,0.9969294539185944
0.69,0.9972341210296477
0.71,0.9975306451949385
0.73,0.9978179287557488
0.75,0.9980938985773473
0.77,0.99835719389808
0.79,0.9986061237391769
0.81,0.9988390023651451
0.83,0.9990541394023489
0.85,0.9992498831884585
0.87,0.9994246636337957
0.89,0.999577071553706
0.91,0.9997059238184737
0.9299999999999999,0.9998095068918242
0.95,0.9998738054566145
0.965,0.9999466461703925
0.975,0.9999552623696186
0.985,0.9999603584846926
0.995,0.9996003058901191
