x_over_c,cp
0.975,0.9971599457741388
0.925,0.9996835621788109
0.8500000000000001,0.9995518211083919
0.75,0.9997690578514534
0.6499999999999999,0.9998634083055028
0.55,0.9999397212464255
0.45,0.9999736269001516
0.35,0.9999967716188014
0.275,0.999924471169431
0.225,0.9999257834974659
0.175,0.9998867731502076
0.125,0.9996219510761324
0.0875,0.9992735295632413
0.0625,0.9976210409974365
0.037500000000000006,0.9872707099575099
0.018750000000000003,0.9526868664202373
0.00625,0.6137981347179933
0.00625,0.38258427839041675
0.018750000000000003,0.8777771728766537
0.037500000000000006,0.9756312510935512
0.0625,0.9975948981780302
0.0875,0.9997249047968179
0.125,0.9999992420312898
0.175,0.9999143036873426
0.225,0.9998643258552887
0.275,0.9999428847112173
0.35,0.9999775190050986
0.45,0.9999977696843245
0.55,0.9999871421382347
0.6499999999999999,0.9999529870823084
0.75,0.9998879402305465
0.8500000000000001,0.9998461887902457
0.925,0.999910436519052
0.975,0.9992919715745728
