x_over_c,cp
0.995,0.9973006185695495
0.985,0.9997813153804214
0.975,0.9997571872004689
0.965,0.9996911336263931
0.95,0.999273614131547
0.9299999999999999,0.9989620031493464
0.91,0.9985256516958829
0.89,0.9979973825601232
0.87,0.9973903428237829
0.85,0.9967124147099853
0.83,0.995969148558795
0.81,0.9951666931173396
0.79,0.994311845986099
0.77,0.993408574916146
0.75,0.992462726599284
0.73,0.991479444632916
0.71,0.9904602847799854
0.69,0.989405324244209
0.67,0.9883346242669919
0.65,0.9872578142546178
0.63,0.9861839480269724
0.61,0.9851245902818041
0.59,0.9840991632073581
0.5700000000000001,0.9830985965349013
0.55,0.9821276394876319
0.53,0.9811885937320394
0.51,0.980282104407189
0.49,0.9793995143007286
0.47,0.9785710439357289
0.45,0.9778183999389717
0.43,0.9771546108548003
0.41000000000000003,0.9766085233610025
0.39,0.9762258454570704
0.37,0.9759436020243227
0.35,0.9757263595022959
0.33,0.9755496473933225
0.31,0.9753479285514766
0.29000000000000004,0.9749986965139527
0.27,0.9747301474969102
0.25,0.9746646934236082
0.22999999999999998,0.9748655372631686
0.21000000000000002,0.9754580597704217
0.19,0.9766171770708132
0.16999999999999998,0.9781517766711771
0.15000000000000002,0.9799338457727647
0.13,0.9821242999883494
0.11,0.9850966578331596
0.09,0.989000317160476
0.07,0.9939198651872236
0.055,0.997523010046074
0.045,0.9996637356255615
0.035,0.9990126511434503
0.025,0.9856061882278494
0.016,0.9371726356503102
0.01,0.8559910569912081
0.006,0.6843422457260706
0.003,0.3565379928343031
0.0015,0.0099691372892311
0.00075,-0.2861820342991077
0.00025,-0.5594234478309759
0.00025,-0.6577487635744355
0.00075,-0.8677757778337722
0.0015,-0.5546756204658125
0.003,-0.21665713639619044
0.006,0.1721397449580926
0.01,0.4170552608544663
0.016,0.6833746105329885
0.025,0.8679466730729832
0.035,0.9297333067580575
0.045,0.9557703826767607
0.055,0.9692890752238243
0.07,0.9782494676816995
0.09,0.9818808946228393
0.11,0.982504299405038
0.13,0.9821066500406347
0.15000000000000002,0.9812823075342303
0.16999999999999998,0.9803645716989662
0.19,0.9795004390223646
0.21000000000000002,0.9787490846993333
0.22999999999999998,0.978164301170895
0.25,0.9777497895965486
0.27,0.9774810041801238
0.29000000000000004,0.9773112129941866
0.31,0.9771830649958031
0.33,0.9771727388629886
0.35,0.9772786103211705
0.37,0.977486888592629
0.39,0.9777988580661974
0.41000000000000003,0.9782146565988437
0.43,0.9787188933020623
0.45,0.9793012619475605
0.47,0.9799599773469191
0.49,0.980684843635988
0.51,0.9814669742267336
0.53,0.9823034504953412
0.55,0.9831866968794697
0.5700000000000001,0.9841104499727164
0.59,0.9850659414226721
0.61,0.9860486118801683
0.63,0.9870485437523154
0.65,0.988058105351013
0.67,0.9890704679742169
0.69,0.9900751282835175
0.71,0.9910662166755779
0.73,0.9920350647180076
0.75,0.992975926781185
0.77,0.9938822183948809
0.79,0.9947482636845759
0.81,0.9955684735238346
0.83,0.9963372722278246
0.85,0.9970490373087363
0.87,0.9976981102602412
0.89,0.9982787790360618
0.91,0.9987853246795904
0.9299999999999999,0.9992135949562903
0.95,0.99958246226505
0.965,0.9997989138063843
0.975,0.9998963887762843
0.985,0.9999638965695655
0.995,0.9999781168885277
