x_over_c,cp
0.975,0.9803016215512675
0.925,0.9924601437016838
0.8500000000000001,0.9775118724359321
0.75,0.9569426431167255
0.6499999999999999,0.9320600437430838
0.55,0.906801739058364
0.45,0.8839975402210333
0.35,0.8720772635827928
0.275,0.8671921399510609
0.225,0.8727053696270662
0.175,0.885469288449068
0.125,0.9104604286118253
0.0875,0.9309887686218169
0.0625,0.9558408288365767
0.037500000000000006,0.9890177606561226
0.018750000000000003,0.9989011879634166
0.00625,0.6975446421914646
0.00625,0.23499803252112494
0.018750000000000003,0.7458849064557246
0.037500000000000006,0.8791588818691435
0.0625,0.9202782320465389
0.0875,0.9213209592209516
0.125,0.9130130840566036
0.175,0.8990431137409736
0.225,0.8896046357114272
0.275,0.8816466190565646
0.35,0.8845353026381838
0.45,0.8930027602836336
0.55,0.9135951678998531
0.6499999999999999,0.9374912782743055
0.75,0.9606161801768736
0.8500000000000001,0.9807660565949666
0.925,0.9942954704437974
0.975,0.9874520665285297
