x_over_c,cp
0.9983842890871983,0.9999946321325749
0.9920264916563288,0.9999958968521631
0.9796260354556005,0.999973000714359
0.9616131097682981,0.9999650902672169
0.9383828884709272,0.999981931117355
0.9102805234303093,0.9999961853287479
0.8776711753171396,0.9999997704122245
0.8410200488214814,0.9999917449253426
0.8008623794469567,0.9999695994514538
0.7577634159029973,0.9999283035015777
0.7123184201048463,0.9998617542436655
0.6651426627716196,0.9997628028480046
0.6168714234263076,0.9996393234210582
0.5681399815919004,0.9994622237637868
0.5195035815758934,0.9992187204360709
0.4713473928528552,0.9989203576028225
0.42396654527992317,0.9986175654288321
0.3776361599103606,0.9983281212767844
0.33262135339549403,0.9980768448688347
0.28914222257793426,0.9978893293377563
0.24744387530513423,0.997856029501357
0.20789147224778903,0.997900323295204
0.1708901916843411,0.9980160151308192
0.13681519868742248,0.9981733727236956
0.10600164072191764,0.9983538165564789
0.07873464324302694,0.9984889808675675
0.05526431629917164,0.998369922097924
0.035780743527151944,0.9972451869648649
0.020423986554083798,0.9908082251186942
0.009274080595462003,0.9493412072236129
0.002376045460002401,0.6519112350741629
0.00023510344551602705,-0.3739489356251313
0.0036015846972667974,0.42365585649655724
0.012600544239465366,0.9466641718373312
0.027001880827564127,0.9972637377389841
0.04669554604025771,0.9999524961626522
0.07157149145624075,0.9992160968331953
0.10144963784064989,0.9986746447347905
0.13606987074312699,0.9983266559287522
0.1750820360958822,0.9981069832329497
0.2180659490175677,0.99797913039037
0.26455140261715154,0.9979653342536144
0.3139981591900436,0.998063929819644
0.36582096122293806,0.9982617485399622
0.4193995357957502,0.998531540842853
0.47407359238064756,0.9988417355046039
0.5291728360478611,0.9991406437420385
0.5840219696666533,0.9993984074062356
0.6379356917043499,0.9995974342061935
0.6902337028292449,0.9997482320751262
0.7402707191164113,0.9998535476639174
0.7874164632438273,0.9999251491291393
0.831070671095282,0.9999676668720977
0.8706730961623115,0.999991960775521
0.9057035095441994,0.9999999362732924
0.9357067109528192,0.9999949312598131
0.9602825243106967,0.9999870991355586
0.9791058065548841,0.9999884761474961
0.9918914322301813,0.9999983524420641
0.9983692824842931,0.9999966911386908
