x_over_c,cp
0.995,0.9994166868649411
0.985,0.9999999971543863
0.975,0.9999877798721383
0.965,0.9999525667700679
0.95,0.9999194958138047
0.9299999999999999,0.9997650510180042
0.91,0.9995703465310813
0.89,0.9993335722503808
0.87,0.9990539435182959
0.85,0.9987331813407712
0.83,0.9983747428189805
0.81,0.997981705691001
0.79,0.9975567763203324
0.77,0.9971046498141227
0.75,0.9966280790618961
0.73,0.9961300859113774
0.71,0.9956155070337787
0.69,0.9950885161992968
0.67,0.9945398541301246
0.65,0.9939741193282364
0.63,0.9933976153287594
0.61,0.9928154858099605
0.59,0.9922293258160207
0.5700000000000001,0.9916599967019718
0.55,0.9911089315090613
0.53,0.9905780656109662
0.51,0.9900690541538517
0.49,0.9895874718387775
0.47,0.9891153082437049
0.45,0.9886570397787282
0.43,0.9882268530400881
0.41000000000000003,0.9878291108654231
0.39,0.9874652840732278
0.37,0.9871948598529053
0.35,0.9870119942047899
0.33,0.9868950915748552
0.31,0.9868431688865557
0.29000000000000004,0.986865230079265
0.27,0.9867917443203489
0.25,0.9866623081621069
0.22999999999999998,0.9865650344415802
0.21000000000000002,0.9865350783977934
0.19,0.9865876003078677
0.16999999999999998,0.9868792510078278
0.15000000000000002,0.9873564342387428
0.13,0.9877844899266197
0.11,0.9878714123999462
0.09,0.9873302587741057
0.07,0.985113806316184
0.055,0.9813814105960595
0.045,0.9759028688632619
0.035,0.9646273925457036
0.025,0.937370133342278
0.016,0.8791699118866827
0.01,0.7967951436068488
0.006,0.6263960628370624
0.003,0.31709318555165433
0.0015,-0.001990384845473203
0.00075,-0.27179974905004056
0.00025,-0.5136790243011147
0.00025,-0.5397189616158904
0.00075,-0.6718650014626257
0.0015,-0.37215280465359224
0.003,-0.039599671438656836
0.006,0.3378103550198508
0.01,0.5734180691554314
0.016,0.8041856955331004
0.025,0.9448601532329324
0.035,0.9836409442216233
0.045,0.9963877261203112
0.055,0.9998378215329162
0.07,0.9991400122937935
0.09,0.996481560353862
0.11,0.9940112579913175
0.13,0.9920212213656818
0.15000000000000002,0.9905362427023603
0.16999999999999998,0.9894378372501726
0.19,0.9886434984430896
0.21000000000000002,0.9880954118911225
0.22999999999999998,0.9877271293053218
0.25,0.9875071564433863
0.27,0.9874143329281999
0.29000000000000004,0.9874322920137052
0.31,0.9875450660210352
0.33,0.9876714768204253
0.35,0.9878207194179184
0.37,0.9880083311287617
0.39,0.9882358204793625
0.41000000000000003,0.988504730634143
0.43,0.9888217748229491
0.45,0.9891841054311393
0.47,0.9895826483568438
0.49,0.9900143100800312
0.51,0.9904744948759614
0.53,0.9909561435759174
0.55,0.9914564961536431
0.5700000000000001,0.9919719058789227
0.59,0.992499806936481
0.61,0.993034664642668
0.63,0.9935738299910237
0.65,0.9941125024412432
0.67,0.9946456621318194
0.69,0.9951707123624166
0.71,0.9956827840112659
0.73,0.9961795891576682
0.75,0.9966576362309799
0.77,0.997114414921964
0.79,0.9975469998696023
0.81,0.9979524788045695
0.83,0.9983279317181768
0.85,0.9986704894524969
0.87,0.9989773972030271
0.89,0.9992461303312486
0.91,0.9994744952953918
0.9299999999999999,0.9996596259414344
0.95,0.9997824545221209
0.965,0.9999061008912882
0.975,0.9999267225799467
0.985,0.9999413349886804
0.995,0.9994840671710904
