x_over_c,cp
0.995,0.9996586564838182
0.985,0.9999907831092818
0.975,0.9999464582134812
0.965,0.9998612731231193
0.95,0.9997388710915769
0.9299999999999999,0.9993835894434965
0.91,0.9989414692725072
0.89,0.9984077572879477
0.87,0.9977821546599439
0.85,0.9970689778129299
0.83,0.996275453813605
0.81,0.995408267013312
0.79,0.994473588944761
0.77,0.9934806248315043
0.75,0.9924354469761941
0.73,0.9913444815563683
0.71,0.990216673905233
0.69,0.9890594616415131
0.67,0.9878603819931345
0.65,0.986629665929451
0.63,0.9853804628871623
0.61,0.9841243642926549
0.59,0.9828682944216978
0.5700000000000001,0.9816474855002845
0.55,0.9804654294095357
0.53,0.9793260108314044
0.51,0.9782322731334272
0.49,0.9771922399674553
0.47,0.9761803748000937
0.45,0.9752092521755727
0.43,0.9743068157049913
0.41000000000000003,0.9734870035013422
0.39,0.9727623625302206
0.37,0.9722244530854244
0.35,0.9718551040174132
0.33,0.9716108197894407
0.31,0.9714756538973979
0.29000000000000004,0.9714393175082565
0.27,0.9712519161871238
0.25,0.9710093052212936
0.22999999999999998,0.9708810315583618
0.21000000000000002,0.9709571481590886
0.19,0.9713050321724741
0.16999999999999998,0.9721596065235786
0.15000000000000002,0.9733983642948986
0.13,0.9746545092257864
0.11,0.975540452072639
0.09,0.9757113207992175
0.07,0.973835449696697
0.055,0.9699406834185051
0.045,0.9640716471165205
0.035,0.9520953660848142
0.025,0.9240845702361622
0.016,0.8661768747854863
0.01,0.7852041510278744
0.006,0.6169372534638011
0.003,0.3140466143697528
0.0015,0.0029322817767087894
0.00075,-0.259630708298457
0.00025,-0.4935336516721631
0.00025,-0.5053510763383893
0.00075,-0.6217171083340745
0.0015,-0.3269423251945818
0.003,0.0017814600531042002
0.006,0.37360308560360767
0.01,0.6049158613124931
0.016,0.8263330040860741
0.025,0.9566867189310316
0.035,0.9900270470716018
0.045,0.9991182721005284
0.055,0.9996010890152908
0.07,0.9958071363169969
0.09,0.9903815654224124
0.11,0.985781756653907
0.13,0.9820887030559379
0.15000000000000002,0.9792716505126726
0.16999999999999998,0.9771345216306344
0.19,0.975548548716024
0.21000000000000002,0.9744208324240763
0.22999999999999998,0.9736455379885713
0.25,0.9731680656545874
0.27,0.9729458875838235
0.29000000000000004,0.9729400919721007
0.31,0.9731103140166076
0.33,0.9733305654921846
0.35,0.9736164378230803
0.37,0.9739922005578954
0.39,0.974460743632538
0.41000000000000003,0.9750247835218678
0.43,0.9756928394466144
0.45,0.9764576787654
0.47,0.9773028982011537
0.49,0.9782208474296528
0.51,0.9792015064911008
0.53,0.980231763722358
0.55,0.9813051143573814
0.5700000000000001,0.9824137647283193
0.59,0.9835513081451042
0.61,0.9847069644724556
0.63,0.985873938614787
0.65,0.987042102375102
0.67,0.9882011012748588
0.69,0.989344117760991
0.71,0.9904612639717901
0.73,0.9915466595808561
0.75,0.9925928916435218
0.77,0.9935941207276654
0.79,0.9945439558818254
0.81,0.9954360450577063
0.83,0.9962640216496237
0.85,0.9970215955999396
0.87,0.9977026682160245
0.89,0.9983015359720286
0.91,0.9988130828842581
0.9299999999999999,0.9992312929819087
0.95,0.9995262215699978
0.965,0.9997911355454653
0.975,0.9998488320267325
0.985,0.9998922927380927
0.995,0.999208355485422
