alpha_deg,cl
-5.0,0.21640866984847573
-4.0,0.24091114153597662
-3.0,0.2653402293560059
-2.0,0.2896884919717658
-1.0,0.31394851266659685
0.0,0.3381129016031793
1.0,0.3621742980745632
2.0,0.3861253727462884
3.0,0.40995882988900034
4.0,0.433667409600761
5.0,0.4572438900185303
6.0,0.48068108951797844
7.0,0.5039718689010974
8.0,0.5271091335708651
9.0,0.5500858356923246
10.0,0.5728949763394302
11.0,0.5955296076269855
12.0,0.6179828348270354
13.0,0.6402478184690612
14.0,0.6623177764233598
15.0,0.6841859859669437
