alpha_deg,cl
-5.0,0.2215658023802713
-4.0,0.24266958455953813
-3.0,0.2636994472325563
-2.0,0.28464898449943266
-1.0,0.3055118149281742
0.0,0.326281583498529
1.0,0.34695196353778995
2.0,0.36751665864795613
3.0,0.38796940462368756
4.0,0.40830397136042496
5.0,0.4285141647521563
6.0,0.4485938285781932
7.0,0.46853684637842297
8.0,0.4883371433164253
9.0,0.507988688029944
10.0,0.5274854944680919
11.0,0.5468216237147602
12.0,0.5659911857976646
13.0,0.5849883414824941
14.0,0.6038073040515983
15.0,0.6224423410666782
